compound,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,NA
C,NA,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,NA
D,NA,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,NA
E,NA,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,NA
F,NA,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,NA
G,NA,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,Dasatinib,NA
H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,
conc,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,1,0.333333333,0.111111111,0.037037037,0.012345679,0.004115226,0.001371742,0.000457247,0.000152416,0,NA
C,NA,1,0.333333333,0.111111111,0.037037037,0.012345679,0.004115226,0.001371742,0.000457247,0.000152416,0,NA
D,NA,1,0.333333333,0.111111111,0.037037037,0.012345679,0.004115226,0.001371742,0.000457247,0.000152416,0,NA
E,NA,1,0.333333333,0.111111111,0.037037037,0.012345679,0.004115226,0.001371742,0.000457247,0.000152416,0,NA
F,NA,1,0.333333333,0.111111111,0.037037037,0.012345679,0.004115226,0.001371742,0.000457247,0.000152416,0,NA
G,NA,1,0.333333333,0.111111111,0.037037037,0.012345679,0.004115226,0.001371742,0.000457247,0.000152416,0,NA
H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,
cell_line,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,NA
C,NA,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,NA
D,NA,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,NA
E,NA,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,NA
F,NA,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,NA
G,NA,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,NA
H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,
replicate,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,1,1,1,1,1,1,1,1,1,1,NA
C,NA,2,2,2,2,2,2,2,2,2,2,NA
D,NA,3,3,3,3,3,3,3,3,3,3,NA
E,NA,1,1,1,1,1,1,1,1,1,1,NA
F,NA,2,2,2,2,2,2,2,2,2,2,NA
G,NA,3,3,3,3,3,3,3,3,3,3,NA
H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,
readout,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,112293,76343,56435,51196,49520,50358,93111,959846,3340500,4629644,NA
C,NA,109043,73933,51301,44596,45749,54444,65445,748252,3210695,4606435,NA
D,NA,111978,72885,58111,55806,47844,50358,69637,744560,3259205,4535417,NA
E,NA,2859380,2904280,2774479,2889096,3193523,3533289,3524189,4196527,4356170,4658881,NA
F,NA,2820419,3040928,2973767,3078571,3048154,3779963,3878622,4333458,4496153,4757604,NA
G,NA,2744582,3162532,2871869,3086446,3141482,3662737,3852862,4382601,4561127,4586296,NA
H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,
read_norm,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,2.446204828,1.663065509,1.229387134,1.1152601,1.078749905,1.097005002,2.028341728,20.90940592,72.76987192,100.8527469,NA
C,NA,2.375406419,1.610565766,1.117547433,0.97148487,0.996601967,1.18601494,1.425662107,16.30001563,69.94218348,100.3471591,NA
D,NA,2.439342828,1.587736002,1.265897329,1.215684919,1.04223971,1.097005002,1.516981162,16.21958863,70.99893142,98.80009405,NA
E,NA,61.26025966,62.22221143,59.44131384,61.89690462,68.41904476,75.69829879,75.50333752,89.90771905,93.32796107,99.81333708,NA
F,NA,60.4255469,65.14980131,63.71092285,65.95627683,65.30461342,80.98312042,83.09682198,92.84137201,96.32700104,101.9284098,NA
G,NA,58.80079107,67.75508379,61.52782794,66.12499331,67.30410195,78.4716336,82.54493161,93.89422715,97.71902453,98.25825313,NA
H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
