drug,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,NA
C,NA,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,NA
D,NA,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,NA
E,NA,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,NA
F,NA,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,NA
G,NA,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,asciminib,NA
H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,
concentration,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,10,3.333333333,1.111111111,0.37037037,0.12345679,0.041152263,0.013717421,0.004572474,0.001524158,0,NA
C,NA,10,3.333333333,1.111111111,0.37037037,0.12345679,0.041152263,0.013717421,0.004572474,0.001524158,0,NA
D,NA,10,3.333333333,1.111111111,0.37037037,0.12345679,0.041152263,0.013717421,0.004572474,0.001524158,0,NA
E,NA,10,3.333333333,1.111111111,0.37037037,0.12345679,0.041152263,0.013717421,0.004572474,0.001524158,0,NA
F,NA,10,3.333333333,1.111111111,0.37037037,0.12345679,0.041152263,0.013717421,0.004572474,0.001524158,0,NA
G,NA,10,3.333333333,1.111111111,0.37037037,0.12345679,0.041152263,0.013717421,0.004572474,0.001524158,0,NA
H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,
cell_line,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,NA
C,NA,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,NA
D,NA,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,K562 wt,NA
E,NA,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,NA
F,NA,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,NA
G,NA,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,K562 T315I,NA
H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,
replicate,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,1,1,1,1,1,1,1,1,1,1,NA
C,NA,2,2,2,2,2,2,2,2,2,2,NA
D,NA,3,3,3,3,3,3,3,3,3,3,NA
E,NA,1,1,1,1,1,1,1,1,1,1,NA
F,NA,2,2,2,2,2,2,2,2,2,2,NA
G,NA,3,3,3,3,3,3,3,3,3,3,NA
H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,
CTG,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,49730,64083,60521,56435,59368,116591,685723,2995754,5045427,5958763,NA
C,NA,46482,57797,59264,50882,62826,98456,532460,2524913,5049274,6055605,NA
D,NA,34854,52454,55178,53292,56435,102020,583312,2489508,4757166,5498401,NA
E,NA,439140,806281,967773,1125496,1690020,2735657,4141914,5014763,5347597,6508821,NA
F,NA,419582,793723,1044753,1084111,1614685,2424953,3529497,4776132,5290950,6170532,NA
G,NA,373014,830874,977498,1191046,1628195,2913327,4226626,5348810,6656605,6422143,NA
H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,
CTG_normalized,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,0.851892696,1.097764722,1.036746388,0.966751746,1.016995085,1.997245553,11.74668038,51.31833807,86.42997004,102.0757426,NA
C,NA,0.796253294,0.990083293,1.015213528,0.871626868,1.076231863,1.686586513,9.121230343,43.25266324,86.49587053,103.7346807,NA
D,NA,0.597061493,0.898555791,0.945218886,0.912911031,0.966751746,1.747639108,9.992343301,42.64616292,81.49195596,94.18957676,NA
E,NA,6.89694671,12.66310764,15.19943255,17.67656313,26.5427378,42.96506933,65.05114573,78.75974217,83.9870919,102.2247839,NA
F,NA,6.589777052,12.46587702,16.4084478,17.02658787,25.35955823,38.085284,55.4327839,75.01190483,83.09741813,96.91176021,NA
G,NA,5.858399782,13.04935488,15.35216928,18.70606365,25.57174056,45.75547905,66.3815965,84.00614276,104.5458167,100.8634559,NA
H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
