log_dose,treatment,target,response_norm
-10.81697,dasatinib,K562 wt,97.1754824
-10.81697,dasatinib,K562 wt,102.412984
-10.81697,dasatinib,K562 wt,106.815127
-10.81697,dasatinib,K562 T315I,113.624212
-10.81697,dasatinib,K562 T315I,102.658869
-10.81697,dasatinib,K562 T315I,99.8604239
-10.339849,dasatinib,K562 wt,99.6211874
-10.339849,dasatinib,K562 wt,101.147708
-10.339849,dasatinib,K562 wt,105.649889
-10.339849,dasatinib,K562 T315I,120.001236
-10.339849,dasatinib,K562 T315I,106.000512
-10.339849,dasatinib,K562 T315I,114.20517
-9.8627275,dasatinib,K562 wt,83.5916903
-9.8627275,dasatinib,K562 wt,87.9201246
-9.8627275,dasatinib,K562 wt,92.0426221
-9.8627275,dasatinib,K562 T315I,124.438407
-9.8627275,dasatinib,K562 T315I,106.571297
-9.8627275,dasatinib,K562 T315I,105.307424
-9.3856063,dasatinib,K562 wt,33.1678349
-9.3856063,dasatinib,K562 wt,36.7024321
-9.3856063,dasatinib,K562 wt,39.4572429
-9.3856063,dasatinib,K562 T315I,110.682544
-9.3856063,dasatinib,K562 T315I,104.714429
-9.3856063,dasatinib,K562 T315I,102.310291
-8.908485,dasatinib,K562 wt,10.6011285
-8.908485,dasatinib,K562 wt,10.9844174
-8.908485,dasatinib,K562 wt,10.4162673
-8.908485,dasatinib,K562 T315I,109.639596
-8.908485,dasatinib,K562 T315I,105.756657
-8.908485,dasatinib,K562 T315I,101.322261
-8.4313638,dasatinib,K562 wt,9.92258349
-8.4313638,dasatinib,K562 wt,9.12942072
-8.4313638,dasatinib,K562 wt,10.117291
-8.4313638,dasatinib,K562 T315I,107.687406
-8.4313638,dasatinib,K562 T315I,93.1830519
-8.4313638,dasatinib,K562 T315I,91.1426551
-7.9542425,dasatinib,K562 wt,9.65594549
-7.9542425,dasatinib,K562 wt,8.46318896
-7.9542425,dasatinib,K562 wt,9.63241141
-7.9542425,dasatinib,K562 T315I,106.033493
-7.9542425,dasatinib,K562 T315I,89.425961
-7.9542425,dasatinib,K562 T315I,87.9233086
-7.4771213,dasatinib,K562 wt,9.33046483
-7.4771213,dasatinib,K562 wt,10.2715314
-7.4771213,dasatinib,K562 wt,9.3851817
-7.4771213,dasatinib,K562 T315I,100.995638
-7.4771213,dasatinib,K562 T315I,80.8749671
-7.4771213,dasatinib,K562 T315I,82.3073538
-7,dasatinib,K562 wt,10.183704
-7,dasatinib,K562 wt,9.74153196
-7,dasatinib,K562 wt,10.2092835
-7,dasatinib,K562 T315I,96.2252165
-7,dasatinib,K562 T315I,80.645573
-7,dasatinib,K562 T315I,82.2651088
-9.81697,asciminib,K562 wt,100.329292
-9.81697,asciminib,K562 wt,103.871171
-9.81697,asciminib,K562 wt,105.263558
-9.81697,asciminib,K562 T315I,100.646623
-9.81697,asciminib,K562 T315I,117.273488
-9.81697,asciminib,K562 T315I,111.703189
-9.3398488,asciminib,K562 wt,100.866751
-9.3398488,asciminib,K562 wt,109.754333
-9.3398488,asciminib,K562 wt,106.841474
